Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Cast,Production companies,Rank
육룡이 나르샤,"Oct  5, 2015 - Mar 22, 2016",2015,SBS," Monday, Tuesday",50,60 min.,15+ - Teens 15 or older,8.8,"Action,  Historical,  Drama,  Political ","Revolution, Power Struggle, Political Intrigue, Sword-fight, Taejong, Scheme, Taejo, Smart Male Lead, Goryeo Dynasty, Bromance",신경수,"유아인, 김명민",ANDu Entertainment,#41
그해 우리는,"Dec 6, 2021 - Jan 25, 2022",2021,SBS,"Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.7,"Romance, Life, Youth, Drama ","Lovers Reunited, High School Sweethearts, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age, Second Chance Romance, Enemies To Lovers",김윤진,"최우식, 김다미","Studio N, Super Moon Pictures",#42
손: The Guest,"Sep 12, 2018 - Nov  1, 2018",2018,OCN," Wednesday, Thursday",16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,"Thriller,  Mystery,  Horror,  Supernatural ","Exorcism, Death, Demon, Possessed, Shamanism, Murder, Psychic, Strong Female Lead, Priest, Policewoman",김홍선,"김동욱, 김재욱",Studio Dragon,#43
디어 마이 프렌즈,"May 13, 2016 - Jul  2, 2016",2016,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Life,  Drama,  Family,  Melodrama ","Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Sismance, Family Conflict",홍종찬,"고현정, 김혜자",Studio Dragon,#44
당신이 잠든 사이에,"Sep 27, 2017 - Nov 16, 2017",2017,SBS," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.7,"Mystery,  Romance,  Drama,  Fantasy ","Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Healing","오충환, 박수진","배수지, 이종석",SidusHQ,#45
펜트하우스2,"Feb 19, 2021 - Apr  2, 2021",2021,SBS," Friday, Saturday",13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"Thriller,  Mystery,  Drama,  Family ","Revenge, Corruption, High Class Society, Female Centered Plot, Greed, Infidelity, Murder, Family Relationship, Betrayal, Married Couple",주동민,"김소연, 이지아","Studio S, Chorokbaem Media",#46
시카고 타자기,"Apr  7, 2017 - Jun  3, 2017",2017,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Comedy,  Romance,  Supernatural,  Political ","Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past",김철규,"유아인, 임수정","THE UNICORN, Studio Dragon",#47
18 어게인,"Sep 21, 2020 - Nov 10, 2020",2020,jTBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Romance,  Life,  Drama,  Fantasy ","Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship",하병훈,"김하늘, 윤상현",JTBC Studios,#48
"아스달 연대기 Part 2 뒤집히는 하늘, 일어나는 땅","Jun 22, 2019 - Jul  7, 2019",2019,tvN," Saturday, Sunday",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Fantasy,  Political ","Twins, War, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship, Sibling",김원석,"송중기, 김지원","Studio Dragon, KPJ",#49
"아스달 연대기 Part 3 아스, 그 모든 전설의 서곡","Sep  7, 2019 - Sep 22, 2019",2019,tvN," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Fantasy,  Political ","Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced, Sibling",김원석,"송중기, 김지원","Studio Dragon, KPJ",#50
악의 마음을 읽는 자들,"Jan 14, 2022 - Mar 12, 2022",2022,SBS,"Friday, Saturday",12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,"Thriller, Mystery, Crime, Drama ","Investigation, Murder, Calm Male Lead, Suspense, 1990s, Adapted From A Novel, 2000s, Empathic Male Lead, Time Skip, Sexual Assault","김재홍, 박보람","김남길, 진선규",Studio S,#51
낭만닥터 김사부2,"Jan  6, 2020 - Feb 25, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Drama, Medical, Melodrama","Hospital, Smart Male Lead, Character Development, Bickering Couple, Love/Hate Relationship, Smart Female Lead, Hardworking Female Lead, Nurse, Healing, Nervous Female Lead","유인식, 이길복","한석규, 안효섭",Samhwa Networks,#52
피고인,"Jan 23, 2017 - Mar 21, 2017",2017,SBS," Monday, Tuesday",18,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Thriller,  Mystery,  Law,  Drama ","Prison, Murder, Amnesia, Wrongfully Accused, Identity Swap, Bromance, Prisoner, Identical Twins, Suspense, Good Twin/Evil Twin","조영광, 정동윤","지성, 엄기준","Signal Entertainment Group, The Story Works (SBS)",#53
우리들의 블루스,"Apr 9, 2022 - Jun 12, 2022",2022,tvN,"Saturday, Sunday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Romance, Life, Drama, Melodrama","Multiple Mains, Anthology, Island Setting, Middle-Aged Female Lead, Middle-Aged Male Lead, Slow Burn Story, Family, Friendship, Depression, Deaf Supporting Character ","김규태, 이정묵","이병헌, 신민아",GTist,#54
스위트홈,18-Dec-20,2020,Netflix,Friday,10,52 min.,18+ Restricted (violence & profanity),8.7,"Horror,  Drama,  Sci-Fi,  Supernatural ","Monsters, Gore, Survival, Character Development, Adapted From A Webtoon, Supernatural Phenomena, Multiple Mains, Trauma, School Bullying, Attempted Suicide",이응복,"송강, 이진욱","Studio Dragon, Studio N",#55
킬미힐미,"Jan  7, 2015 - Mar 12, 2015",2015,MBC," Wednesday, Thursday",20,1 hr. 2 min.,15+ - Teens 15 or older,8.7,"Psychological,  Comedy,  Romance,  Drama ","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Mental Health, PTSD, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman","김진만, 김대진","지성, 황정음","Pan Entertainment, Huace Media",#56
달의 연인 - 보보경심 려,"Aug 29, 2016 - Nov  1, 2016",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,"Historical,  Romance,  Melodrama ","Goryeo Dynasty, Power Struggle, Sibling Rivalry, Tearjerker, Adapted From A Novel, Time Travel, Death, Gwangjong, Reverse-Harem, Obsession",김규태,"이준기, 아이유","BaramiBunda inc., GT Entertainment, NBCUniversal International Television, YG Entertainment",#57
사내 맞선,"Feb 28, 2022 - Apr 5, 2022",2022,SBS,"Monday, Tuesday",12,60 min.,15+ - Teens 15 or older,8.7,"Comedy, Romance, Drama","Boss-Employee Relationship, Secondary Couple, Cheerful Female Lead, Fake Identity, Blind Date, Poor Female Lead, Contract Relationship, Sismance, Double Identity, Company President (CEO) Male Lead",박선호,"안효섭, 김세정","Kakao Entertainment, Kross Pictures",#58
미생,"Oct 17, 2014 - Dec 20, 2014",2014,tvN," Friday, Saturday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Friendship,  Business,  Life,  Drama ","Office Worker, Workplace Abuse, Teamwork, Adapted From A Webtoon, Hardworking Male Lead, Workplace, Smart Female Lead, Strong Female Lead, Nice Male Lead, Hardworking Female Lead",김원석,"임시완, 이성민",Number Three Pictures,#59
힘쎈여자 도봉순,"Feb 24, 2017 - Apr 15, 2017",2017,jTBC," Friday, Saturday",16,1 hr. 7 min.,15+ - Teens 15 or older,8.7,"Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ","Strong Female Lead, Female Lead Action Scenes, Love Triangle, Superhuman Strength, Strong Female Characters, Game Developer, Gangster, Nice Male Lead, Bodyguard, Workplace",이형민,"박보영, 박경식","Drama House, JS Pictures",#60
열혈사제,"Feb 15, 2019 - Apr 20, 2019",2019,SBS," Friday, Saturday",40,35 min.,15+ - Teens 15 or older,8.7,"Action,  Mystery,  Comedy,  Crime ","Badass Male Lead, Priest, Eccentric Male Lead, Sassy Female Lead, Bromance, Aggressive Male Lead, Church, Strong Friendship, PTSD, Sismance",이명우,"김남길, Kim Sung Kyun",Samhwa Networks,#61
마이 네임,15-Oct-21,2021,Netflix,Friday,8,50 min.,18+ Restricted (violence & profanity),8.7,"Action,  Thriller,  Crime ","Revenge, Undercover Agent, Strong Female Lead, Double Identity, Crime Boss, Gang, Noir, Strong Male Lead, Drugs, Death",김진민,"한소희, 박희순",Studio Santa Claus Entertainment,#62
호텔 델루나,"Jul 13, 2019 - Sep  1, 2019",2019,tvN," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Horror,  Comedy,  Romance,  Fantasy ","Boss-Employee Relationship, Immortal, Strong Female Lead, Ghost, Ghost-seeing Male Lead, Supernatural, Hotel, Rich Female Lead, Nice Male Lead, Strong Friendship",오충환,"아이유, 여진구",GTist,#63
스토브리그,"Dec 13, 2019 - Feb 14, 2020",2019,SBS," Friday, Saturday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.7,"Drama,  Sports,  Melodrama ","Hardworking Female Lead, Baseball, Hardworking Male Lead, Workplace, Teamwork, General Manager, Corruption, Successful Male Lead, Tough Male Lead, Calm Male Lead",정동윤,"남궁민, 박은빈",Gill Pictures,#64
낭만닥터 김사부,"Nov  7, 2016 - Jan 16, 2017",2016,SBS," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.7,"Romance,  Drama,  Medical ","Surgeon, Strong Male Lead, Smart Male Lead, Strong Female Characters, Hardworking Female Lead, Hardworking Male Lead, Character Development, Smart Female Lead, Boss-Employee Relationship, Slow Burn Romance","유인식, 박수진","한석규, 유연석",Samhwa Networks,#65
태양의 후예,"Feb 24, 2016 - Apr 14, 2016",2016,KBS2," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.7,"Action,  Comedy,  Romance,  Melodrama ","Soldier, Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Charming Male Lead, Gun Violence, Filmed Abroad, Friendship, Strong Friendship","백상훈, 이응복","송중기, 송혜교","KBS, Next Entertainment World, Barunson Inc., Descendants of the Sun SPC",#66
로스쿨,"Apr 14, 2021 - Jun  9, 2021",2021,jTBC," Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.7,"Mystery,  Law,  Crime,  Drama ","Smart Male Lead, School, Student, University, Death, Hardworking Female Lead, Rich Male Lead, Law Student, Campus Life, Nice Male Lead",김석윤,"김명민, 김범","JTBC Studios, Studio Phoenix, Gonggamdong House",#67
타인은 지옥이다,"Aug 31, 2019 - Oct  6, 2019",2019,OCN," Saturday, Sunday",10,60 min.,15+ - Teens 15 or older,8.7,"Thriller,  Horror,  Psychological,  Drama ","Adapted From A Webtoon, Murder, PTSD, Gaslighting, Mental Illness, Mental Torment, Hostel, Trauma, Torture, Psychopath",이창희,"임시완, 이동욱","Woo Sang Film, Studio N",#68
라이브,"Mar 10, 2018 - May  6, 2018",2018,Netflix," Saturday, Sunday",18,1 hr. 15 min.,15+ - Teens 15 or older,8.7,"Friendship,  Comedy,  Romance,  Crime ","Teamwork, Violence, Strong Friendship, Slice Of Life, Policewoman, Strong Female Lead, Smart Female Lead, Male Chases Female First, Rape, Nice Male Lead","김규태, 명현우","이광수, 정유미",GTist,#69
